Energy(eV);Delta;Beta
6516.95605;1.72504606E-05;4.42883206E-08
6561.52734;1.70159601E-05;4.30606377E-08
6606.40332;1.67846629E-05;4.18669899E-08
6651.58643;1.65565143E-05;4.07065066E-08
6697.0791;1.63314799E-05;3.95778343E-08
6742.88232;1.61095086E-05;3.84807208E-08
6788.99902;1.58905623E-05;3.74137272E-08
6835.43115;1.56745937E-05;3.63766191E-08
6882.18066;1.54615736E-05;3.53680925E-08
6929.25;1.52514558E-05;3.43874831E-08
6976.64111;1.50441992E-05;3.3434187E-08
7024.35693;1.4839773E-05;3.25068292E-08
7072.39844;1.46381271E-05;3.16055626E-08
7120.76904;1.44392279E-05;3.07290406E-08
7169.46973;1.42430354E-05;2.98771674E-08
7218.50439;1.40495167E-05;2.90488522E-08
7267.87354;1.38586383E-05;2.8243484E-08
7317.58105;1.36703547E-05;2.74607004E-08
7367.62793;1.34846478E-05;2.66996008E-08
7418.01807;1.33014591E-05;2.59599187E-08
7468.75195;1.31207698E-05;2.52403503E-08
7519.83301;1.29425371E-05;2.45408316E-08
7571.26318;1.27667327E-05;2.38608813E-08
7623.04541;1.25933257E-05;2.31998243E-08
7675.18164;1.24222761E-05;2.25573711E-08
7727.6748;1.22535648E-05;2.19326051E-08
7780.52686;1.20871446E-05;2.13254658E-08
7833.74023;1.19229908E-05;2.07349853E-08
7887.31787;1.1761068E-05;2.0161016E-08
7941.26123;1.16013507E-05;1.96030623E-08
7995.57422;1.14438044E-05;1.90605292E-08
8050.25879;1.12883972E-05;1.85330453E-08
8105.31641;1.11351192E-05;1.8020069E-08
8160.75146;1.09839193E-05;1.75215824E-08
8216.56543;1.08347795E-05;1.70369105E-08
8272.76074;1.06876669E-05;1.65658047E-08
8329.34082;1.05425552E-05;1.61078741E-08
8386.30762;1.03994253E-05;1.56625664E-08
8443.66406;1.0258238E-05;1.52298334E-08
8501.41309;1.01189671E-05;1.48090891E-08
8559.55664;9.98158794E-06;1.4400249E-08
8618.09863;9.84608505E-06;1.40027963E-08
8677.04004;9.71243026E-06;1.36164866E-08
8736.38574;9.58058899E-06;1.32410083E-08
8796.13574;9.45054035E-06;1.28758577E-08
8856.2959;9.32225339E-06;1.25210295E-08
8916.86621;9.19572176E-06;1.21759927E-08
8977.85156;9.07090907E-06;1.18407115E-08
9039.25391;8.94779259E-06;1.151483E-08
9101.07617;8.82635049E-06;1.1198094E-08
9163.32129;8.70655731E-06;1.08902904E-08
9225.99219;8.58839485E-06;1.05909734E-08
9289.09082;8.47183856E-06;1.03001661E-08
9352.62207;8.3568666E-06;1.0017466E-08
9416.58789;8.24345625E-06;9.74275416E-09
9480.99023;8.1315884E-06;9.47574197E-09
9545.83496;8.02123941E-06;9.21618071E-09
9611.12109;7.91239108E-06;8.9639558E-09
9676.85449;7.80502978E-06;8.71859296E-09
9743.03711;7.69912549E-06;8.48021831E-09
9809.67285;7.59465684E-06;8.24855029E-09
9876.76465;7.49160517E-06;8.02345834E-09
9944.31543;7.38995732E-06;7.80465648E-09
10012.3271;7.28969508E-06;7.5919262E-09
10080.8047;7.19079299E-06;7.38505612E-09
10149.75;7.09323285E-06;7.18393434E-09
10219.168;6.99699467E-06;6.98853819E-09
10289.0596;6.90207071E-06;6.7985626E-09
10359.4297;6.80843732E-06;6.61394406E-09
10430.2803;6.71607586E-06;6.43452891E-09
10501.6162;6.62496996E-06;6.26013641E-09
10573.4404;6.53509915E-06;6.09069373E-09
10645.7559;6.44644797E-06;5.92593485E-09
10718.5654;6.3589996E-06;5.76587089E-09
10791.873;6.27274358E-06;5.61028557E-09
10865.6816;6.1876608E-06;5.45909051E-09
10939.9961;6.10373081E-06;5.31216804E-09
11014.8174;6.02094087E-06;5.16934584E-09
11090.1504;5.93927416E-06;5.03059505E-09
11166.;5.85872112E-06;4.89565366E-09
11242.3682;5.7792613E-06;4.76455941E-09
11319.2578;5.70087968E-06;4.63714267E-09
11396.6738;5.62356172E-06;4.51331506E-09
11474.6191;5.54729195E-06;4.3929993E-09
11553.0977;5.47206082E-06;4.27604796E-09
11632.1123;5.39784969E-06;4.16243351E-09
11711.6689;5.32464765E-06;4.05196765E-09
11791.7686;5.25243831E-06;3.94464816E-09
11872.416;5.18120942E-06;3.84033649E-09
11953.6152;5.11094595E-06;3.73895581E-09
12035.3701;5.04163609E-06;3.64045549E-09
12117.6836;4.97327301E-06;3.5447203E-09
12200.5596;4.90583716E-06;3.45171247E-09
12284.0029;4.8393149E-06;3.36127037E-09
12368.0176;4.7736944E-06;3.27338734E-09
12452.6064;4.70896566E-06;3.18798277E-09
12537.7734;4.64511686E-06;3.10499404E-09
12623.5225;4.5821339E-06;3.02436209E-09
12709.8594;4.52000722E-06;2.94596614E-09
12796.7852;4.45872365E-06;2.86980351E-09
12884.3066;4.39827045E-06;2.79578205E-09
12972.4268;4.3386367E-06;2.72385936E-09
13061.1484;4.27981331E-06;2.65395284E-09
13150.4785;4.22178846E-06;2.58598787E-09
13240.418;4.16455123E-06;2.51996002E-09
13330.9736;4.10809253E-06;2.45577847E-09
13422.1475;4.05239962E-06;2.39342168E-09
13513.9463;3.99746068E-06;2.33280417E-09
13606.373;3.94326662E-06;2.27389463E-09
13699.4307;3.88981016E-06;2.21665086E-09
13793.125;3.83708129E-06;2.16101692E-09
13887.4609;3.78506729E-06;2.1069575E-09
13982.4414;3.73375588E-06;2.05439377E-09
14078.0713;3.68313977E-06;2.00331951E-09
14174.3555;3.63321351E-06;1.95367966E-09
14271.2988;3.58396551E-06;1.90543892E-09
14368.9043;3.5353853E-06;1.85855464E-09
14467.1777;3.48746335E-06;1.81297388E-09
14566.123;3.44019145E-06;1.76868176E-09
14665.7461;3.39355938E-06;1.72563397E-09
14766.0498;3.34755987E-06;1.68380521E-09
14867.0391;3.30218563E-06;1.6431404E-09
14968.7188;3.25742735E-06;1.60361158E-09
15071.0947;3.21327593E-06;1.5650593E-09
15174.1709;3.16972478E-06;1.52752133E-09
15277.9512;3.12676389E-06;1.49103663E-09
15382.4414;3.08438553E-06;1.45556134E-09
15487.6475;3.04258106E-06;1.42107814E-09
